id;title;provincie;dna;CU,
id;title;provincie;dna;2012-0,
000828;Oss;Noord-Brabant;655747;0.4,
000840;Rucphen;Noord-Brabant;448454;0.3,
000844;Schijndel;Noord-Brabant;555465;0.3,
000845;Sint-Michielsgestel;Noord-Brabant;465374;0.4,
000846;Sint-Oedenrode;Noord-Brabant;455374;0.3,
000847;Someren;Noord-Brabant;435454;0.5,
000848;Son en Breugel;Noord-Brabant;485465;0.8,
000851;Steenbergen;Noord-Brabant;456464;1.3,
000852;Waterland;Noord-Holland;486474;1.4,
000855;Tilburg;Noord-Brabant;943918;0.6,
000856;Uden;Noord-Brabant;655646;0.4,
000858;Valkenswaard;Noord-Brabant;657556;0.5,
000860;Veghel;Noord-Brabant;554765;0.3,
000861;Veldhoven;Noord-Brabant;766567;0.9,
000865;Vught;Noord-Brabant;685566;0.4,
000866;Waalre;Noord-Brabant;496565;0.7,
000867;Waalwijk;Noord-Brabant;655656;2.5,
000870;Werkendam;Noord-Brabant;454374;7.2,
000873;Woensdrecht;Noord-Brabant;457565;0.6,
000874;Woudrichem;Noord-Brabant;354374;14.3,
000879;Zundert;Noord-Brabant;346573;0.5,
000880;Wormerland;Noord-Holland;665555;1.6,
000881;Onderbanken;Limburg;337534;0.4,
000882;Landgraaf;Limburg;638516;0.5,
000888;Beek;Limburg;558545;0.4,
000889;Beesel;Limburg;436545;0.3,
000893;Bergen (L.);Limburg;336453;0.3,
000899;Brunssum;Limburg;728617;1.2,
000907;Gennep;Limburg;446555;0.4,
000917;Heerlen;Limburg;827717;0.8,
000928;Kerkrade;Limburg;729716;0.3,
000935;Maastricht;Limburg;936819;0.7,
000938;Meerssen;Limburg;468455;0.5,
000944;Mook en Middelaar;Limburg;387464;0.7,
000946;Nederweert;Limburg;446474;0.3,
000951;Nuth;Limburg;358444;0.4,
000957;Roermond;Limburg;746917;0.5,
000962;Schinnen;Limburg;358445;0.6,
000965;Simpelveld;Limburg;448455;0.3,
000971;Stein;Limburg;548455;0.3,
000981;Vaals;Limburg;529814;1,
000983;Venlo;Limburg;736827;0.5,
000984;Venray;Limburg;545645;0.5,
000986;Voerendaal;Limburg;368454;0.4,
000988;Weert;Limburg;647736;0.5,
000994;Valkenburg aan de Geul;Limburg;459436;0.6,
000995;Lelystad;Flevoland;652917;3.5,
001507;Horst aan de Maas;Limburg;445464;0.4,
001509;Oude IJsselstreek;Gelderland;436554;1.2,
001586;Oost Gelre;Gelderland;435464;0.5,
001598;Koggenland;Noord-Holland;353373;0.5,
001621;Lansingerland;Zuid-Holland;681676;5.1,
001525;Teylingen;Zuid-Holland;684576;1.6,
001581;Utrechtse Heuvelrug;Utrecht;497565;3.1,
001659;Laarbeek;Noord-Brabant;445365;0.3,
001663;De Marne;Groningen;227332;7.5,
001667;Reusel-De Mierden;Noord-Brabant;454471;0.4,
001669;Roerdalen;Limburg;348454;0.5,
001671;Maasdonk;Noord-Brabant;344374;0.3,
001672;Rijnwoude;Zuid-Holland;464475;4.4,
