id;title;provincie;dna;50Plus,
id;title;provincie;dna;2012-0,
000627;Waddinxveen;Zuid-Holland;664667;2.1,
000629;Wassenaar;Zuid-Holland;797865;1.9,
000632;Woerden;Utrecht;673666;1.7,
000637;Zoetermeer;Zuid-Holland;973928;2.4,
000638;Zoeterwoude;Zuid-Holland;475475;1.6,
000642;Zwijndrecht;Zuid-Holland;956847;2.3,
000643;Nederlek;Zuid-Holland;565465;1.6,
000644;Ouderkerk;Zuid-Holland;454474;1.1,
000653;Gaasterlân-Sleat;Friesland;326362;1.1,
000654;Borsele;Zeeland;344474;1.3,
000664;Goes;Zeeland;656646;1.5,
000668;West Maas en Waal;Gelderland;355364;2,
000677;Hulst;Zeeland;348562;1.9,
000678;Kapelle;Zeeland;453385;1.3,
000687;Middelburg;Zeeland;845637;1.6,
000689;Giessenlanden;Zuid-Holland;374373;1.2,
000693;Graafstroom;Zuid-Holland;251382;1,
000694;Liesveld;Zuid-Holland;352384;1.4,
000703;Reimerswaal;Zeeland;331574;1.1,
000707;Zederik;Zuid-Holland;343373;1.2,
000715;Terneuzen;Zeeland;447645;1.8,
000716;Tholen;Zeeland;333463;1.3,
000717;Veere;Zeeland;356474;1.5,
000718;Vlissingen;Zeeland;846817;2.4,
000733;Lingewaal;Gelderland;364474;1.7,
000736;De Ronde Venen;Utrecht;585574;1.9,
000737;Tytsjerksteradiel;Friesland;335343;1,
000738;Aalburg;Noord-Brabant;342373;1.4,
000743;Asten;Noord-Brabant;545464;2.4,
000744;Baarle-Nassau;Noord-Brabant;348571;3.1,
000748;Bergen op Zoom;Noord-Brabant;756937;2.6,
000753;Best;Noord-Brabant;674555;4,
000755;Boekel;Noord-Brabant;343373;2.4,
000756;Boxmeer;Noord-Brabant;455465;1.3,
000757;Boxtel;Noord-Brabant;654655;2.4,
000758;Breda;Noord-Brabant;963838;1.9,
000762;Deurne;Noord-Brabant;545454;2.1,
000765;Pekela;Groningen;416414;1.3,
000766;Dongen;Noord-Brabant;655565;2.1,
000770;Eersel;Noord-Brabant;466474;2.5,
000772;Eindhoven;Noord-Brabant;954929;3.1,
000777;Etten-Leur;Noord-Brabant;754656;2.4,
000779;Geertruidenberg;Noord-Brabant;555455;2.9,
000784;Gilze en Rijen;Noord-Brabant;555654;3.4,
000785;Goirle;Noord-Brabant;676466;2.7,
000786;Grave;Noord-Brabant;455565;2,
000788;Haaren;Noord-Brabant;365374;1.9,
000794;Helmond;Noord-Brabant;743817;2.3,
000796;'s-Hertogenbosch;Noord-Brabant;964728;2.1,
000797;Heusden;Noord-Brabant;555555;2.4,
000798;Hilvarenbeek;Noord-Brabant;465374;2.1,
000809;Loon op Zand;Noord-Brabant;556465;2.8,
000815;Mill en Sint Hubert;Noord-Brabant;335363;2,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;2.1
000823;Oirschot;Noord-Brabant;465373;2.5,
000824;Oisterwijk;Noord-Brabant;576466;2,
000826;Oosterhout;Noord-Brabant;766747;2.3,
000828;Oss;Noord-Brabant;655747;2.2,
000840;Rucphen;Noord-Brabant;448454;2.3,
000844;Schijndel;Noord-Brabant;555465;2.3,
000845;Sint-Michielsgestel;Noord-Brabant;465374;1.8,
000846;Sint-Oedenrode;Noord-Brabant;455374;1.8,
000847;Someren;Noord-Brabant;435454;2.7,
000848;Son en Breugel;Noord-Brabant;485465;2.4,
000851;Steenbergen;Noord-Brabant;456464;2.1,
000852;Waterland;Noord-Holland;486474;2,
000855;Tilburg;Noord-Brabant;943918;2.4,
000856;Uden;Noord-Brabant;655646;2.1,
000858;Valkenswaard;Noord-Brabant;657556;3.2,
000860;Veghel;Noord-Brabant;554765;1.9,
000861;Veldhoven;Noord-Brabant;766567;3.2,
000865;Vught;Noord-Brabant;685566;2,
000866;Waalre;Noord-Brabant;496565;2.6,
000867;Waalwijk;Noord-Brabant;655656;3.1,
000870;Werkendam;Noord-Brabant;454374;1.7,
000873;Woensdrecht;Noord-Brabant;457565;3.3,
000874;Woudrichem;Noord-Brabant;354374;1.5,
000879;Zundert;Noord-Brabant;346573;2.1,
000880;Wormerland;Noord-Holland;665555;2.6,
000881;Onderbanken;Limburg;337534;1.6,
000882;Landgraaf;Limburg;638516;2.2,
000888;Beek;Limburg;558545;2.3,
000889;Beesel;Limburg;436545;2.5,
000893;Bergen (L.);Limburg;336453;2.2,
000899;Brunssum;Limburg;728617;2.4,
000907;Gennep;Limburg;446555;1.6,
000917;Heerlen;Limburg;827717;2.1,
000928;Kerkrade;Limburg;729716;2.2,
000935;Maastricht;Limburg;936819;1.9,
000938;Meerssen;Limburg;468455;2.2,
000944;Mook en Middelaar;Limburg;387464;1.4,
000946;Nederweert;Limburg;446474;1.8,
000951;Nuth;Limburg;358444;2.3,
000957;Roermond;Limburg;746917;2,
000962;Schinnen;Limburg;358445;1.9,
000965;Simpelveld;Limburg;448455;1.9,
000971;Stein;Limburg;548455;3.1,
000981;Vaals;Limburg;529814;2.3,
000983;Venlo;Limburg;736827;2.1,
000984;Venray;Limburg;545645;2.4,
000986;Voerendaal;Limburg;368454;2,
000988;Weert;Limburg;647736;2.5,
000994;Valkenburg aan de Geul;Limburg;459436;1.9,
000995;Lelystad;Flevoland;652917;2.7,
001507;Horst aan de Maas;Limburg;445464;1.9,
001509;Oude IJsselstreek;Gelderland;436554;1.8,
001586;Oost Gelre;Gelderland;435464;1.8,
001598;Koggenland;Noord-Holland;353373;2.8,
001621;Lansingerland;Zuid-Holland;681676;1.7,
001525;Teylingen;Zuid-Holland;684576;2.1,
001581;Utrechtse Heuvelrug;Utrecht;497565;1.9,
001659;Laarbeek;Noord-Brabant;445365;2.1,
001663;De Marne;Groningen;227332;1.4,
001667;Reusel-De Mierden;Noord-Brabant;454471;3.4,
001669;Roerdalen;Limburg;348454;2.2,
001671;Maasdonk;Noord-Brabant;344374;1.9,
001672;Rijnwoude;Zuid-Holland;464475;2,
001674;Roosendaal;Noord-Brabant;756837;2.5,
001640;Leudal;Limburg;356463;2.6,
001641;Maasgouw;Limburg;358454;2.9,
001651;Eemsmond;Groningen;326312;1.4,
001652;Gemert-Bakel;Noord-Brabant;444454;2.3,
001655;Halderberge;Noord-Brabant;456654;3.3,
001658;Heeze-Leende;Noord-Brabant;487465;1.9,
001676;Schouwen-Duiveland;Zeeland;358464;1.6,
001680;Aa en Hunze;Drenthe;357353;1.2,
001681;Borger-Odoorn;Drenthe;337343;1.5,
001684;Cuijk;Noord-Brabant;445745;1.6,
001685;Landerd;Noord-Brabant;344373;2.2,
001690;De Wolden;Drenthe;346373;1.1,
001695;Noord-Beveland;Zeeland;258463;1.8,
001696;Wijdemeren;Noord-Holland;497574;2,
001699;Noordenveld;Drenthe;457343;1.2,
001700;Twenterand;Overijssel;423354;1.4,
001701;Westerveld;Drenthe;258351;1.3,
001702;Sint Anthonis;Noord-Brabant;345383;1.1,
001705;Lingewaard;Gelderland;554465;2,
001706;Cranendonck;Noord-Brabant;456564;2.7,
001708;Steenwijkerland;Overijssel;435443;1.3,
001709;Moerdijk;Noord-Brabant;465463;2.7,
001711;Echt-Susteren;Limburg;448544;2,
001714;Sluis;Zeeland;349564;1.7,
001719;Drimmelen;Noord-Brabant;466374;2.8,
001721;Bernheze;Noord-Brabant;454365;1.8,
001722;Ferwerderadiel;Friesland;224343;1.4,
001723;Alphen-Chaam;Noord-Brabant;366473;2.2,
001724;Bergeijk;Noord-Brabant;355463;2.4,
001728;Bladel;Noord-Brabant;455474;2.8,
001729;Gulpen-Wittem;Limburg;349464;2.6,
001730;Tynaarlo;Drenthe;366364;1.3,
001731;Midden-Drenthe;Drenthe;346353;1.4,
001734;Overbetuwe;Gelderland;453464;1.8,
001735;Hof van Twente;Overijssel;446464;1.4,
001740;Neder-Betuwe;Gelderland;331364;1.1,
001742;Rijssen-Holten;Overijssel;532465;0.9,
001771;Geldrop-Mierlo;Noord-Brabant;665546;2.7,
001773;Olst-Wijhe;Overijssel;345463;1.7,
001774;Dinkelland;Overijssel;334373;1.7,
001783;Westland;Zuid-Holland;654565;2,
001842;Midden-Delfland;Zuid-Holland;673477;1.5,
001859;Berkelland;Gelderland;436363;1.8,
001876;Bronckhorst;Gelderland;347373;1.3,
001883;Sittard-Geleen;Limburg;647616;2.1,
001884;Kaag en Braassem;Zuid-Holland;464474;2.4,
001891;Dantumadiel;Friesland;315324;0.8,
001892;Zuidplas;Zuid-Holland;673665;1.6,
001894;Peel en Maas;Limburg;445463;2.3,
001895;Oldambt;Groningen;527415;1.3,
001896;Zwartewaterland;Overijssel;431364;1.2,
001900;Súdwest-Fryslân;Friesland;535424;1.3,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;1.5,
001903;Eijsden-Margraten;Limburg;367474;2,
001904;Stichtse Vecht;Utrecht;675665;1.9,
001908;Menameradiel;Friesland;335363;1,
001911;Hollands Kroon;Noord-Holland;344461;2.6,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;2.5,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;1.6,
001955;Montferland;Gelderland;436445;1.7,
001987;Menterwolde;Groningen;335324;1.3,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
