id;title;provincie;dna;SP,
id;title;provincie;dna;2012-0,
000579;Oegstgeest;Zuid-Holland;895668;4.9,
000580;Oostflakkee;Zuid-Holland;355372;7.1,
000584;Oud-Beijerland;Zuid-Holland;674465;7.1,
000585;Binnenmaas;Zuid-Holland;476474;6.7,
000588;Korendijk;Zuid-Holland;365382;6.2,
000589;Oudewater;Utrecht;474474;4.1,
000590;Papendrecht;Zuid-Holland;865666;7.6,
000597;Ridderkerk;Zuid-Holland;857657;7.9,
000599;Rotterdam;Zuid-Holland;933919;9.9,
000603;Rijswijk;Zuid-Holland;978939;7.3,
000606;Schiedam;Zuid-Holland;944919;10,
000608;Schoonhoven;Zuid-Holland;664745;7.2,
000610;Sliedrecht;Zuid-Holland;744656;7.4,
000611;Cromstrijen;Zuid-Holland;476383;6.4,
000612;Spijkenisse;Zuid-Holland;955928;11.1,
000613;Albrandswaard;Zuid-Holland;594765;6.5,
000614;Westvoorne;Zuid-Holland;498473;5.3,
000617;Strijen;Zuid-Holland;466473;6.8,
000620;Vianen;Utrecht;564654;7.1,
000622;Vlaardingen;Zuid-Holland;956928;10.2,
000623;Vlist;Zuid-Holland;364374;4.7,
000626;Voorschoten;Zuid-Holland;895767;4.9,
000627;Waddinxveen;Zuid-Holland;664667;5,
000629;Wassenaar;Zuid-Holland;797865;4.1,
000632;Woerden;Utrecht;673666;5.4,
000637;Zoetermeer;Zuid-Holland;973928;8.4,
000638;Zoeterwoude;Zuid-Holland;475475;7.2,
000642;Zwijndrecht;Zuid-Holland;956847;8,
000643;Nederlek;Zuid-Holland;565465;7.2,
000644;Ouderkerk;Zuid-Holland;454474;4.3,
000653;Gaasterlân-Sleat;Friesland;326362;8.1,
000654;Borsele;Zeeland;344474;8.4,
000664;Goes;Zeeland;656646;9.8,
000668;West Maas en Waal;Gelderland;355364;13,
000677;Hulst;Zeeland;348562;11.6,
000678;Kapelle;Zeeland;453385;7.9,
000687;Middelburg;Zeeland;845637;9.8,
000689;Giessenlanden;Zuid-Holland;374373;5.2,
000693;Graafstroom;Zuid-Holland;251382;3.6,
000694;Liesveld;Zuid-Holland;352384;4.2,
000703;Reimerswaal;Zeeland;331574;5.9,
000707;Zederik;Zuid-Holland;343373;4.5,
000715;Terneuzen;Zeeland;447645;10,
000716;Tholen;Zeeland;333463;7.6,
000717;Veere;Zeeland;356474;5.9,
000718;Vlissingen;Zeeland;846817;11.9,
000733;Lingewaal;Gelderland;364474;5.3,
000736;De Ronde Venen;Utrecht;585574;4.3,
000737;Tytsjerksteradiel;Friesland;335343;9,
000738;Aalburg;Noord-Brabant;342373;5.4,
000743;Asten;Noord-Brabant;545464;12.8,
000744;Baarle-Nassau;Noord-Brabant;348571;10.5,
000748;Bergen op Zoom;Noord-Brabant;756937;11.4,
000753;Best;Noord-Brabant;674555;11.8,
000755;Boekel;Noord-Brabant;343373;17,
000756;Boxmeer;Noord-Brabant;455465;31.7,
000757;Boxtel;Noord-Brabant;654655;15.8,
000758;Breda;Noord-Brabant;963838;11.4,
000762;Deurne;Noord-Brabant;545454;15.2,
