id;title;provincie;dna;GroenLinks,
id;title;provincie;dna;2012-0,
000626;Voorschoten;Zuid-Holland;895767;3.3,
000627;Waddinxveen;Zuid-Holland;664667;1.2,
000629;Wassenaar;Zuid-Holland;797865;1.5,
000632;Woerden;Utrecht;673666;2,
000637;Zoetermeer;Zuid-Holland;973928;1.6,
000638;Zoeterwoude;Zuid-Holland;475475;2.4,
000642;Zwijndrecht;Zuid-Holland;956847;1.2,
000643;Nederlek;Zuid-Holland;565465;1.2,
000644;Ouderkerk;Zuid-Holland;454474;0.9,
000653;Gaasterlân-Sleat;Friesland;326362;2,
000654;Borsele;Zeeland;344474;1.5,
000664;Goes;Zeeland;656646;2.1,
000668;West Maas en Waal;Gelderland;355364;1.5,
000677;Hulst;Zeeland;348562;1.2,
000678;Kapelle;Zeeland;453385;1.1,
000687;Middelburg;Zeeland;845637;2.7,
000689;Giessenlanden;Zuid-Holland;374373;1.2,
000693;Graafstroom;Zuid-Holland;251382;0.8,
000694;Liesveld;Zuid-Holland;352384;0.8,
000703;Reimerswaal;Zeeland;331574;0.8,
000707;Zederik;Zuid-Holland;343373;0.9,
000715;Terneuzen;Zeeland;447645;1.3,
000716;Tholen;Zeeland;333463;0.6,
000717;Veere;Zeeland;356474;1.7,
000718;Vlissingen;Zeeland;846817;1.8,
000733;Lingewaal;Gelderland;364474;1.1,
000736;De Ronde Venen;Utrecht;585574;1.8,
000737;Tytsjerksteradiel;Friesland;335343;1.8,
000738;Aalburg;Noord-Brabant;342373;0.6,
000743;Asten;Noord-Brabant;545464;1.4,
000744;Baarle-Nassau;Noord-Brabant;348571;1.4,
000748;Bergen op Zoom;Noord-Brabant;756937;1.6,
000753;Best;Noord-Brabant;674555;1.4,
000755;Boekel;Noord-Brabant;343373;1.1,
000756;Boxmeer;Noord-Brabant;455465;1.3,
000757;Boxtel;Noord-Brabant;654655;2.1,
000758;Breda;Noord-Brabant;963838;2.4,
000762;Deurne;Noord-Brabant;545454;1.1,
000765;Pekela;Groningen;416414;1.3,
000766;Dongen;Noord-Brabant;655565;1.2,
000770;Eersel;Noord-Brabant;466474;1.6,
000772;Eindhoven;Noord-Brabant;954929;2.9,
000777;Etten-Leur;Noord-Brabant;754656;1.5,
000779;Geertruidenberg;Noord-Brabant;555455;1.3,
000784;Gilze en Rijen;Noord-Brabant;555654;1.5,
000785;Goirle;Noord-Brabant;676466;1.8,
000786;Grave;Noord-Brabant;455565;1.4,
000788;Haaren;Noord-Brabant;365374;2,
000794;Helmond;Noord-Brabant;743817;1.5,
000796;'s-Hertogenbosch;Noord-Brabant;964728;3.1,
000797;Heusden;Noord-Brabant;555555;1.3,
000798;Hilvarenbeek;Noord-Brabant;465374;2,
000809;Loon op Zand;Noord-Brabant;556465;1.4,
000815;Mill en Sint Hubert;Noord-Brabant;335363;1,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;2.1
000823;Oirschot;Noord-Brabant;465373;1.2,
000824;Oisterwijk;Noord-Brabant;576466;1.8,
000826;Oosterhout;Noord-Brabant;766747;1.6,
000828;Oss;Noord-Brabant;655747;1.5,
000840;Rucphen;Noord-Brabant;448454;0.8,
000844;Schijndel;Noord-Brabant;555465;1.2,
000845;Sint-Michielsgestel;Noord-Brabant;465374;2,
000846;Sint-Oedenrode;Noord-Brabant;455374;1.2,
000847;Someren;Noord-Brabant;435454;1,
000848;Son en Breugel;Noord-Brabant;485465;1.6,
000851;Steenbergen;Noord-Brabant;456464;1,
000852;Waterland;Noord-Holland;486474;2.6,
000855;Tilburg;Noord-Brabant;943918;2.7,
000856;Uden;Noord-Brabant;655646;1.4,
000858;Valkenswaard;Noord-Brabant;657556;1.4,
000860;Veghel;Noord-Brabant;554765;1.2,
000861;Veldhoven;Noord-Brabant;766567;1.5,
000865;Vught;Noord-Brabant;685566;2.5,
000866;Waalre;Noord-Brabant;496565;2.2,
000867;Waalwijk;Noord-Brabant;655656;1.4,
000870;Werkendam;Noord-Brabant;454374;1.1,
000873;Woensdrecht;Noord-Brabant;457565;1,
000874;Woudrichem;Noord-Brabant;354374;1.3,
000879;Zundert;Noord-Brabant;346573;1,
000880;Wormerland;Noord-Holland;665555;2.4,
000881;Onderbanken;Limburg;337534;1.5,
000882;Landgraaf;Limburg;638516;1.5,
000888;Beek;Limburg;558545;1.5,
000889;Beesel;Limburg;436545;1.4,
000893;Bergen (L.);Limburg;336453;1.2,
000899;Brunssum;Limburg;728617;1.3,
000907;Gennep;Limburg;446555;1.4,
000917;Heerlen;Limburg;827717;1.6,
000928;Kerkrade;Limburg;729716;1.2,
000935;Maastricht;Limburg;936819;3,
000938;Meerssen;Limburg;468455;2,
000944;Mook en Middelaar;Limburg;387464;2.7,
000946;Nederweert;Limburg;446474;1.5,
000951;Nuth;Limburg;358444;2.2,
000957;Roermond;Limburg;746917;2,
000962;Schinnen;Limburg;358445;2.3,
000965;Simpelveld;Limburg;448455;1.1,
000971;Stein;Limburg;548455;1.5,
000981;Vaals;Limburg;529814;2,
000983;Venlo;Limburg;736827;2.2,
000984;Venray;Limburg;545645;1.5,
000986;Voerendaal;Limburg;368454;1.7,
000988;Weert;Limburg;647736;1.4,
000994;Valkenburg aan de Geul;Limburg;459436;1.9,
000995;Lelystad;Flevoland;652917;1.8,
001507;Horst aan de Maas;Limburg;445464;1.5,
001509;Oude IJsselstreek;Gelderland;436554;1.4,
001586;Oost Gelre;Gelderland;435464;1,
001598;Koggenland;Noord-Holland;353373;1.7,
