id;title;provincie;dna;SGP,
id;title;provincie;dna;2012-0,
000716;Tholen;Zeeland;333463;24.2,
000717;Veere;Zeeland;356474;13.1,
000718;Vlissingen;Zeeland;846817;2.3,
000733;Lingewaal;Gelderland;364474;5.2,
000736;De Ronde Venen;Utrecht;585574;1.5,
000737;Tytsjerksteradiel;Friesland;335343;1,
000738;Aalburg;Noord-Brabant;342373;23.1,
000743;Asten;Noord-Brabant;545464;0.1,
000744;Baarle-Nassau;Noord-Brabant;348571;0.1,
000748;Bergen op Zoom;Noord-Brabant;756937;0.2,
000753;Best;Noord-Brabant;674555;0.2,
000755;Boekel;Noord-Brabant;343373;0.1,
000756;Boxmeer;Noord-Brabant;455465;0.1,
000757;Boxtel;Noord-Brabant;654655;0.1,
000758;Breda;Noord-Brabant;963838;0.1,
000762;Deurne;Noord-Brabant;545454;0.1,
000765;Pekela;Groningen;416414;0.7,
000766;Dongen;Noord-Brabant;655565;0.3,
000770;Eersel;Noord-Brabant;466474;0.1,
000772;Eindhoven;Noord-Brabant;954929;0.2,
000777;Etten-Leur;Noord-Brabant;754656;0.2,
000779;Geertruidenberg;Noord-Brabant;555455;0.3,
000784;Gilze en Rijen;Noord-Brabant;555654;0.1,
000785;Goirle;Noord-Brabant;676466;0.1,
000786;Grave;Noord-Brabant;455565;0,
000788;Haaren;Noord-Brabant;365374;0.1,
000794;Helmond;Noord-Brabant;743817;0.1,
000796;'s-Hertogenbosch;Noord-Brabant;964728;0.2,
000797;Heusden;Noord-Brabant;555555;0.2,
000798;Hilvarenbeek;Noord-Brabant;465374;0.1,
000809;Loon op Zand;Noord-Brabant;556465;0.6,
000815;Mill en Sint Hubert;Noord-Brabant;335363;0.1,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;0.1
000823;Oirschot;Noord-Brabant;465373;0,
000824;Oisterwijk;Noord-Brabant;576466;0.1,
000826;Oosterhout;Noord-Brabant;766747;0.1,
000828;Oss;Noord-Brabant;655747;0.1,
000840;Rucphen;Noord-Brabant;448454;0,
000844;Schijndel;Noord-Brabant;555465;0.1,
000845;Sint-Michielsgestel;Noord-Brabant;465374;0.1,
000846;Sint-Oedenrode;Noord-Brabant;455374;0.1,
000847;Someren;Noord-Brabant;435454;0,
000848;Son en Breugel;Noord-Brabant;485465;0.2,
000851;Steenbergen;Noord-Brabant;456464;1.3,
000852;Waterland;Noord-Holland;486474;0.3,
000855;Tilburg;Noord-Brabant;943918;0.1,
000856;Uden;Noord-Brabant;655646;0.1,
000858;Valkenswaard;Noord-Brabant;657556;0.1,
000860;Veghel;Noord-Brabant;554765;0.1,
000861;Veldhoven;Noord-Brabant;766567;0.1,
000865;Vught;Noord-Brabant;685566;0.1,
000866;Waalre;Noord-Brabant;496565;0.2,
000867;Waalwijk;Noord-Brabant;655656;2,
000870;Werkendam;Noord-Brabant;454374;12.6,
000873;Woensdrecht;Noord-Brabant;457565;0.1,
000874;Woudrichem;Noord-Brabant;354374;4.4,
000879;Zundert;Noord-Brabant;346573;0.1,
000880;Wormerland;Noord-Holland;665555;0.2,
000881;Onderbanken;Limburg;337534;0.1,
000882;Landgraaf;Limburg;638516;0.1,
000888;Beek;Limburg;558545;0.1,
000889;Beesel;Limburg;436545;0.1,
000893;Bergen (L.);Limburg;336453;0.1,
000899;Brunssum;Limburg;728617;0.1,
000907;Gennep;Limburg;446555;0.1,
000917;Heerlen;Limburg;827717;0.1,
000928;Kerkrade;Limburg;729716;0.1,
000935;Maastricht;Limburg;936819;0.1,
000938;Meerssen;Limburg;468455;0.1,
000944;Mook en Middelaar;Limburg;387464;0.1,
000946;Nederweert;Limburg;446474;0,
000951;Nuth;Limburg;358444;0.1,
000957;Roermond;Limburg;746917;0.1,
000962;Schinnen;Limburg;358445;0.1,
000965;Simpelveld;Limburg;448455;0.1,
000971;Stein;Limburg;548455;0.1,
000981;Vaals;Limburg;529814;0.3,
000983;Venlo;Limburg;736827;0.1,
000984;Venray;Limburg;545645;0.1,
000986;Voerendaal;Limburg;368454;0.1,
000988;Weert;Limburg;647736;0.1,
000994;Valkenburg aan de Geul;Limburg;459436;0.1,
000995;Lelystad;Flevoland;652917;0.8,
001507;Horst aan de Maas;Limburg;445464;0.1,
001509;Oude IJsselstreek;Gelderland;436554;0.2,
001586;Oost Gelre;Gelderland;435464;0.1,
001598;Koggenland;Noord-Holland;353373;0.1,
001621;Lansingerland;Zuid-Holland;681676;1.2,
001525;Teylingen;Zuid-Holland;684576;0.3,
001581;Utrechtse Heuvelrug;Utrecht;497565;4.3,
