id;title;provincie;dna;VVD,
id;title;provincie;dna;2012-0,
000733;Lingewaal;Gelderland;364474;29.6,
000736;De Ronde Venen;Utrecht;585574;44.9,
000737;Tytsjerksteradiel;Friesland;335343;17.8,
000738;Aalburg;Noord-Brabant;342373;23.4,
000743;Asten;Noord-Brabant;545464;33.2,
000744;Baarle-Nassau;Noord-Brabant;348571;33.8,
000748;Bergen op Zoom;Noord-Brabant;756937;28,
000753;Best;Noord-Brabant;674555;32.4,
000755;Boekel;Noord-Brabant;343373;30.8,
000756;Boxmeer;Noord-Brabant;455465;24.4,
000757;Boxtel;Noord-Brabant;654655;26,
000758;Breda;Noord-Brabant;963838;30.5,
000762;Deurne;Noord-Brabant;545454;32.2,
000765;Pekela;Groningen;416414;11.5,
000766;Dongen;Noord-Brabant;655565;29.6,
000770;Eersel;Noord-Brabant;466474;32.5,
000772;Eindhoven;Noord-Brabant;954929;22.4,
000777;Etten-Leur;Noord-Brabant;754656;30.5,
000779;Geertruidenberg;Noord-Brabant;555455;29.9,
000784;Gilze en Rijen;Noord-Brabant;555654;29,
000785;Goirle;Noord-Brabant;676466;29.5,
000786;Grave;Noord-Brabant;455565;28.9,
000788;Haaren;Noord-Brabant;365374;33.4,
000794;Helmond;Noord-Brabant;743817;26.2,
000796;'s-Hertogenbosch;Noord-Brabant;964728;26.6,
000797;Heusden;Noord-Brabant;555555;32.3,
000798;Hilvarenbeek;Noord-Brabant;465374;33.4,
000809;Loon op Zand;Noord-Brabant;556465;32.3,
000815;Mill en Sint Hubert;Noord-Brabant;335363;28.3,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;32.7
000823;Oirschot;Noord-Brabant;465373;31.7,
000824;Oisterwijk;Noord-Brabant;576466;36.1,
000826;Oosterhout;Noord-Brabant;766747;30.7,
000828;Oss;Noord-Brabant;655747;25.6,
000840;Rucphen;Noord-Brabant;448454;25.8,
000844;Schijndel;Noord-Brabant;555465;28.2,
000845;Sint-Michielsgestel;Noord-Brabant;465374;30.4,
000846;Sint-Oedenrode;Noord-Brabant;455374;32,
000847;Someren;Noord-Brabant;435454;33.2,
000848;Son en Breugel;Noord-Brabant;485465;36.8,
000851;Steenbergen;Noord-Brabant;456464;30.3,
000852;Waterland;Noord-Holland;486474;33.5,
000855;Tilburg;Noord-Brabant;943918;23.9,
000856;Uden;Noord-Brabant;655646;32.1,
000858;Valkenswaard;Noord-Brabant;657556;29.1,
000860;Veghel;Noord-Brabant;554765;32.1,
000861;Veldhoven;Noord-Brabant;766567;29.2,
000865;Vught;Noord-Brabant;685566;32.7,
000866;Waalre;Noord-Brabant;496565;34.8,
000867;Waalwijk;Noord-Brabant;655656;29.6,
000870;Werkendam;Noord-Brabant;454374;26.3,
000873;Woensdrecht;Noord-Brabant;457565;31.2,
000874;Woudrichem;Noord-Brabant;354374;26.7,
000879;Zundert;Noord-Brabant;346573;35.7,
000880;Wormerland;Noord-Holland;665555;28.9,
000881;Onderbanken;Limburg;337534;19.3,
000882;Landgraaf;Limburg;638516;16.5,
000888;Beek;Limburg;558545;24.4,
000889;Beesel;Limburg;436545;23.6,
000893;Bergen (L.);Limburg;336453;24.2,
000899;Brunssum;Limburg;728617;15.3,
000907;Gennep;Limburg;446555;25.1,
000917;Heerlen;Limburg;827717;15.5,
000928;Kerkrade;Limburg;729716;14.1,
000935;Maastricht;Limburg;936819;19.1,
000938;Meerssen;Limburg;468455;24.9,
000944;Mook en Middelaar;Limburg;387464;29.4,
000946;Nederweert;Limburg;446474;31.4,
000951;Nuth;Limburg;358444;23.3,
000957;Roermond;Limburg;746917;25.3,
000962;Schinnen;Limburg;358445;22.6,
000965;Simpelveld;Limburg;448455;17.6,
000971;Stein;Limburg;548455;20.2,
000981;Vaals;Limburg;529814;18.2,
000983;Venlo;Limburg;736827;24.8,
000984;Venray;Limburg;545645;27.3,
000986;Voerendaal;Limburg;368454;24.1,
000988;Weert;Limburg;647736;29.3,
000994;Valkenburg aan de Geul;Limburg;459436;26.5,
000995;Lelystad;Flevoland;652917;26.9,
001507;Horst aan de Maas;Limburg;445464;27.7,
001509;Oude IJsselstreek;Gelderland;436554;24.7,
001586;Oost Gelre;Gelderland;435464;29.3,
001598;Koggenland;Noord-Holland;353373;40,
001621;Lansingerland;Zuid-Holland;681676;41.1,
001525;Teylingen;Zuid-Holland;684576;40.7,
001581;Utrechtse Heuvelrug;Utrecht;497565;34.1,
001659;Laarbeek;Noord-Brabant;445365;29.8,
001663;De Marne;Groningen;227332;17.4,
001667;Reusel-De Mierden;Noord-Brabant;454471;32,
001669;Roerdalen;Limburg;348454;24.7,
001671;Maasdonk;Noord-Brabant;344374;31.8,
001672;Rijnwoude;Zuid-Holland;464475;34.5,
001674;Roosendaal;Noord-Brabant;756837;28.9,
001640;Leudal;Limburg;356463;28.9,
001641;Maasgouw;Limburg;358454;26.9,
001651;Eemsmond;Groningen;326312;16,
001652;Gemert-Bakel;Noord-Brabant;444454;28.8,
001655;Halderberge;Noord-Brabant;456654;30.6,
001658;Heeze-Leende;Noord-Brabant;487465;34.4,
001676;Schouwen-Duiveland;Zeeland;358464;30.9,
001680;Aa en Hunze;Drenthe;357353;28.9,
001681;Borger-Odoorn;Drenthe;337343;23.2,
001684;Cuijk;Noord-Brabant;445745;25,
001685;Landerd;Noord-Brabant;344373;31.2,
001690;De Wolden;Drenthe;346373;34.4,
001695;Noord-Beveland;Zeeland;258463;30.6,
001696;Wijdemeren;Noord-Holland;497574;43.4,
001699;Noordenveld;Drenthe;457343;25.7,
001700;Twenterand;Overijssel;423354;18.4,
001701;Westerveld;Drenthe;258351;30.7,
001702;Sint Anthonis;Noord-Brabant;345383;30,
001705;Lingewaard;Gelderland;554465;30.9,
001706;Cranendonck;Noord-Brabant;456564;30.4,
001708;Steenwijkerland;Overijssel;435443;27.3,
001709;Moerdijk;Noord-Brabant;465463;30.2,
001711;Echt-Susteren;Limburg;448544;20.5,
001714;Sluis;Zeeland;349564;31.6,
001719;Drimmelen;Noord-Brabant;466374;32.3,
001721;Bernheze;Noord-Brabant;454365;31.7,
001722;Ferwerderadiel;Friesland;224343;16.4,
001723;Alphen-Chaam;Noord-Brabant;366473;38.5,
001724;Bergeijk;Noord-Brabant;355463;31.6,
001728;Bladel;Noord-Brabant;455474;31.5,
