id;title;provincie;dna;D66,
id;title;provincie;dna;2012-0,
000603;Rijswijk;Zuid-Holland;978939;9.2,
000606;Schiedam;Zuid-Holland;944919;5.9,
000608;Schoonhoven;Zuid-Holland;664745;7.4,
000610;Sliedrecht;Zuid-Holland;744656;3.2,
000611;Cromstrijen;Zuid-Holland;476383;5.7,
000612;Spijkenisse;Zuid-Holland;955928;4.1,
000613;Albrandswaard;Zuid-Holland;594765;6.5,
000614;Westvoorne;Zuid-Holland;498473;5.8,
000617;Strijen;Zuid-Holland;466473;5,
000620;Vianen;Utrecht;564654;6.8,
000622;Vlaardingen;Zuid-Holland;956928;6,
000623;Vlist;Zuid-Holland;364374;5.4,
000626;Voorschoten;Zuid-Holland;895767;12.4,
000627;Waddinxveen;Zuid-Holland;664667;6,
000629;Wassenaar;Zuid-Holland;797865;8.7,
000632;Woerden;Utrecht;673666;8.4,
000637;Zoetermeer;Zuid-Holland;973928;7.5,
000638;Zoeterwoude;Zuid-Holland;475475;9.5,
000642;Zwijndrecht;Zuid-Holland;956847;5,
000643;Nederlek;Zuid-Holland;565465;5.4,
000644;Ouderkerk;Zuid-Holland;454474;4.1,
000653;Gaasterlân-Sleat;Friesland;326362;4.9,
000654;Borsele;Zeeland;344474;4.6,
000664;Goes;Zeeland;656646;6.2,
000668;West Maas en Waal;Gelderland;355364;5.7,
000677;Hulst;Zeeland;348562;4.5,
000678;Kapelle;Zeeland;453385;4.7,
000687;Middelburg;Zeeland;845637;6.6,
000689;Giessenlanden;Zuid-Holland;374373;4.6,
000693;Graafstroom;Zuid-Holland;251382;2.5,
000694;Liesveld;Zuid-Holland;352384;2.9,
000703;Reimerswaal;Zeeland;331574;2.2,
000707;Zederik;Zuid-Holland;343373;3,
000715;Terneuzen;Zeeland;447645;4.5,
000716;Tholen;Zeeland;333463;2.5,
000717;Veere;Zeeland;356474;5.3,
000718;Vlissingen;Zeeland;846817;5.3,
000733;Lingewaal;Gelderland;364474;4.3,
000736;De Ronde Venen;Utrecht;585574;8.3,
000737;Tytsjerksteradiel;Friesland;335343;4.3,
000738;Aalburg;Noord-Brabant;342373;2.4,
000743;Asten;Noord-Brabant;545464;7,
