id;title;provincie;dna;CDA,
id;title;provincie;dna;2012-0,
000965;Simpelveld;Limburg;448455;11.4,
000971;Stein;Limburg;548455;8.3,
000981;Vaals;Limburg;529814;8.9,
000983;Venlo;Limburg;736827;8.2,
000984;Venray;Limburg;545645;12.5,
000986;Voerendaal;Limburg;368454;11.6,
000988;Weert;Limburg;647736;8.4,
000994;Valkenburg aan de Geul;Limburg;459436;11.1,
000995;Lelystad;Flevoland;652917;4.9,
001507;Horst aan de Maas;Limburg;445464;15.8,
001509;Oude IJsselstreek;Gelderland;436554;13.7,
001586;Oost Gelre;Gelderland;435464;18.9,
001598;Koggenland;Noord-Holland;353373;12.6,
001621;Lansingerland;Zuid-Holland;681676;9.2,
001525;Teylingen;Zuid-Holland;684576;9.9,
001581;Utrechtse Heuvelrug;Utrecht;497565;8.8,
001659;Laarbeek;Noord-Brabant;445365;12,
001663;De Marne;Groningen;227332;11.9,
001667;Reusel-De Mierden;Noord-Brabant;454471;14,
001669;Roerdalen;Limburg;348454;11,
001671;Maasdonk;Noord-Brabant;344374;13.9,
001672;Rijnwoude;Zuid-Holland;464475;11.3,
001674;Roosendaal;Noord-Brabant;756837;7.7,
001640;Leudal;Limburg;356463;12.7,
001641;Maasgouw;Limburg;358454;10.7,
001651;Eemsmond;Groningen;326312;11.6,
001652;Gemert-Bakel;Noord-Brabant;444454;13.5,
001655;Halderberge;Noord-Brabant;456654;9.2,
001658;Heeze-Leende;Noord-Brabant;487465;13.8,
001676;Schouwen-Duiveland;Zeeland;358464;9.8,
001680;Aa en Hunze;Drenthe;357353;5.2,
001681;Borger-Odoorn;Drenthe;337343;8.3,
001684;Cuijk;Noord-Brabant;445745;9.9,
001685;Landerd;Noord-Brabant;344373;12.9,
001690;De Wolden;Drenthe;346373;13.3,
001695;Noord-Beveland;Zeeland;258463;10.3,
001696;Wijdemeren;Noord-Holland;497574;8.7,
001699;Noordenveld;Drenthe;457343;7.8,
001700;Twenterand;Overijssel;423354;22,
001701;Westerveld;Drenthe;258351;9.3,
001702;Sint Anthonis;Noord-Brabant;345383;17.2,
001705;Lingewaard;Gelderland;554465;9.1,
001706;Cranendonck;Noord-Brabant;456564;12,
001708;Steenwijkerland;Overijssel;435443;13,
001709;Moerdijk;Noord-Brabant;465463;9.9,
001711;Echt-Susteren;Limburg;448544;13.2,
001714;Sluis;Zeeland;349564;10.6,
001719;Drimmelen;Noord-Brabant;466374;8.9,
001721;Bernheze;Noord-Brabant;454365;13.8,
001722;Ferwerderadiel;Friesland;224343;22.7,
001723;Alphen-Chaam;Noord-Brabant;366473;15,
001724;Bergeijk;Noord-Brabant;355463;16.9,
001728;Bladel;Noord-Brabant;455474;13.4,
001729;Gulpen-Wittem;Limburg;349464;12.7,
001730;Tynaarlo;Drenthe;366364;6.9,
001731;Midden-Drenthe;Drenthe;346353;12.5,
