id;title;provincie;dna;PvdD,
id;title;provincie;dna;2012-0,
000614;Westvoorne;Zuid-Holland;498473;2.2,
000617;Strijen;Zuid-Holland;466473;2.4,
000620;Vianen;Utrecht;564654;1.9,
000622;Vlaardingen;Zuid-Holland;956928;2.4,
000623;Vlist;Zuid-Holland;364374;1.6,
000626;Voorschoten;Zuid-Holland;895767;2.3,
000627;Waddinxveen;Zuid-Holland;664667;1.5,
000629;Wassenaar;Zuid-Holland;797865;1.9,
000632;Woerden;Utrecht;673666;1.7,
000637;Zoetermeer;Zuid-Holland;973928;2.2,
000638;Zoeterwoude;Zuid-Holland;475475;2.1,
000642;Zwijndrecht;Zuid-Holland;956847;2,
000643;Nederlek;Zuid-Holland;565465;2.5,
000644;Ouderkerk;Zuid-Holland;454474;1.7,
000653;Gaasterlân-Sleat;Friesland;326362;1.6,
000654;Borsele;Zeeland;344474;1.6,
000664;Goes;Zeeland;656646;1.7,
000668;West Maas en Waal;Gelderland;355364;1.3,
000677;Hulst;Zeeland;348562;1.7,
000678;Kapelle;Zeeland;453385;1.4,
000687;Middelburg;Zeeland;845637;2.3,
000689;Giessenlanden;Zuid-Holland;374373;1.3,
000693;Graafstroom;Zuid-Holland;251382;0.9,
000694;Liesveld;Zuid-Holland;352384;0.9,
000703;Reimerswaal;Zeeland;331574;1,
000707;Zederik;Zuid-Holland;343373;1.2,
000715;Terneuzen;Zeeland;447645;1.4,
000716;Tholen;Zeeland;333463;1.5,
000717;Veere;Zeeland;356474;1.9,
000718;Vlissingen;Zeeland;846817;2.3,
000733;Lingewaal;Gelderland;364474;1.5,
000736;De Ronde Venen;Utrecht;585574;1.5,
000737;Tytsjerksteradiel;Friesland;335343;1.3,
000738;Aalburg;Noord-Brabant;342373;1.3,
000743;Asten;Noord-Brabant;545464;1.1,
000744;Baarle-Nassau;Noord-Brabant;348571;1.9,
000748;Bergen op Zoom;Noord-Brabant;756937;1.9,
000753;Best;Noord-Brabant;674555;1.3,
000755;Boekel;Noord-Brabant;343373;1.3,
000756;Boxmeer;Noord-Brabant;455465;0.9,
