id;title;provincie;dna;PvdA,
id;title;provincie;dna;2012-0,
001903;Eijsden-Margraten;Limburg;367474;22.6,
001904;Stichtse Vecht;Utrecht;675665;20.1,
001908;Menameradiel;Friesland;335363;36.6,
001911;Hollands Kroon;Noord-Holland;344461;21.1,
001916;Leidschendam-Voorburg;Zuid-Holland;996939;20.6,
001926;Pijnacker-Nootdorp;Zuid-Holland;681775;17.3,
001955;Montferland;Gelderland;436445;25.3,
001987;Menterwolde;Groningen;335324;41,
001924;Goeree-Overflakkee;Zuid-Holland;455374;,
001927;Molenwaard;Zuid-Holland;361373;,
